"Date","Age","Observations"
2023-03-31,"25 - 29",17.9
2023-03-31,"30 - 39",36.1
2023-03-31,"40 - 49",19.8
2023-03-31,"50 - 59",10.4
2023-03-31,"60 and over",4
2023-03-31,"Unknown",0
2023-06-30,"Under 20",1.1
2023-06-30,"20 - 24",10.6
2023-06-30,"25 - 29",17.9
2023-06-30,"30 - 39",35.8
2023-06-30,"40 - 49",20.1
2023-06-30,"50 - 59",10.4
2023-06-30,"60 and over",4.1
2023-06-30,"Unknown",0
2023-09-30,"Under 20",1.2
2023-09-30,"20 - 24",10.5
2023-09-30,"25 - 29",17.7
2023-09-30,"30 - 39",35.6
2023-09-30,"40 - 49",20.2
2023-09-30,"50 - 59",10.5
2023-09-30,"60 and over",4.3
2023-09-30,"Unknown",0
2023-12-31,"Under 20",1.2
2023-12-31,"20 - 24",10.6
2023-12-31,"25 - 29",17.2
2023-12-31,"30 - 39",35.9
2023-12-31,"40 - 49",20.2
2023-12-31,"50 - 59",10.5
2023-12-31,"60 and over",4.4
2023-12-31,"Unknown",0
2024-03-31,"Under 20",1.3
2024-03-31,"20 - 24",10.4
2024-03-31,"25 - 29",16.8
2024-03-31,"30 - 39",36.4
2024-03-31,"40 - 49",20.1
2024-03-31,"50 - 59",10.4
2024-03-31,"60 and over",4.6
2024-03-31,"Unknown",0
