"Date","Offence type","Observations"
2019-09-30,"Prohibited And Regulated Weapons",0
2019-09-30,"Property Damage",1.6
2019-09-30,"Public Order",0
2019-09-30,"Robbery, Extortion",0
2019-09-30,"Sexual Assault",3.4
2019-09-30,"Theft",0
2019-09-30,"Traffic",22.6
2019-09-30,"Unlawful Entry With Intent/Burglary",5.9
2019-09-30,"Unknown",0
2019-09-30,"Breaches",4.4
2019-09-30,"Dishonesty",12.1
2019-09-30,"Drugs",7.2
2019-09-30,"Other",16.6
2019-09-30,"Violence",23.7
2019-09-30,"Weapons",2.5
2019-12-31,"Abduction, Harassment",0
2019-12-31,"Acts Intended To Cause Injury",0
2019-12-31,"Dangerous Or Negligent Acts",0
2019-12-31,"Fraud, Deception",0
2019-12-31,"Homicide",0
2019-12-31,"Illicit Drug Offences",0
2019-12-31,"Miscellaneous Offences",0
2019-12-31,"Offences Against Justice",0
2019-12-31,"Prohibited And Regulated Weapons",0
2019-12-31,"Property Damage",1.6
2019-12-31,"Public Order",0
2019-12-31,"Robbery, Extortion",0
2019-12-31,"Sexual Assault",3.6
2019-12-31,"Theft",0
2019-12-31,"Traffic",23.4
2019-12-31,"Unlawful Entry With Intent/Burglary",6.2
2019-12-31,"Unknown",0
2019-12-31,"Breaches",4.6
2019-12-31,"Dishonesty",13
2019-12-31,"Drugs",7.6
2019-12-31,"Other",12.5
2019-12-31,"Violence",24.9
2019-12-31,"Weapons",2.6
2020-03-31,"Abduction, Harassment",0
2020-03-31,"Acts Intended To Cause Injury",0
2020-03-31,"Dangerous Or Negligent Acts",0
2020-03-31,"Fraud, Deception",0
2020-03-31,"Homicide",0
2020-03-31,"Illicit Drug Offences",0
2020-03-31,"Miscellaneous Offences",0
2020-03-31,"Offences Against Justice",0
2020-03-31,"Prohibited And Regulated Weapons",0
2020-03-31,"Property Damage",1.6
2020-03-31,"Public Order",0
2020-03-31,"Robbery, Extortion",0
2020-03-31,"Sexual Assault",3.6
2020-03-31,"Theft",0
2020-03-31,"Traffic",23.6
2020-03-31,"Unlawful Entry With Intent/Burglary",6.3
2020-03-31,"Unknown",0
2020-03-31,"Breaches",4.8
2020-03-31,"Dishonesty",12.7
2020-03-31,"Drugs",7.3
2020-03-31,"Other",12.8
2020-03-31,"Violence",24.6
2020-03-31,"Weapons",2.7
2020-06-30,"Abduction, Harassment",0
2020-06-30,"Acts Intended To Cause Injury",0
2020-06-30,"Dangerous Or Negligent Acts",0
2020-06-30,"Fraud, Deception",0
2020-06-30,"Homicide",0
2020-06-30,"Illicit Drug Offences",0
2020-06-30,"Miscellaneous Offences",0
2020-06-30,"Offences Against Justice",0
2020-06-30,"Prohibited And Regulated Weapons",0
2020-06-30,"Property Damage",1.5
2020-06-30,"Public Order",0
2020-06-30,"Robbery, Extortion",0
2020-06-30,"Sexual Assault",3.7
2020-06-30,"Theft",0
2020-06-30,"Traffic",22.7
2020-06-30,"Unlawful Entry With Intent/Burglary",6.5
2020-06-30,"Unknown",0
2020-06-30,"Breaches",4.5
2020-06-30,"Dishonesty",13
2020-06-30,"Drugs",7.3
2020-06-30,"Other",12.5
2020-06-30,"Violence",25.5
2020-06-30,"Weapons",2.8
2020-09-30,"Abduction, Harassment",0
2020-09-30,"Acts Intended To Cause Injury",0
2020-09-30,"Dangerous Or Negligent Acts",0
2020-09-30,"Fraud, Deception",0
2020-09-30,"Homicide",0
2020-09-30,"Illicit Drug Offences",0
2020-09-30,"Miscellaneous Offences",0
2020-09-30,"Offences Against Justice",0
2020-09-30,"Prohibited And Regulated Weapons",0
2020-09-30,"Property Damage",1.5
2020-09-30,"Public Order",0
2020-09-30,"Robbery, Extortion",0
2020-09-30,"Sexual Assault",3.7
2020-09-30,"Theft",0
2020-09-30,"Traffic",22.1
2020-09-30,"Unlawful Entry With Intent/Burglary",6.6
2020-09-30,"Unknown",0
2020-09-30,"Breaches",4.1
2020-09-30,"Dishonesty",13.2
2020-09-30,"Drugs",7.2
2020-09-30,"Other",12.3
2020-09-30,"Violence",26.4
2020-09-30,"Weapons",2.9
2020-12-31,"Abduction, Harassment",3
2020-12-31,"Acts Intended To Cause Injury",20.4
2020-12-31,"Dangerous Or Negligent Acts",2.4
2020-12-31,"Fraud, Deception",4.5
2020-12-31,"Homicide",1.5
2020-12-31,"Illicit Drug Offences",7.4
2020-12-31,"Miscellaneous Offences",0.2
2020-12-31,"Offences Against Justice",14
2020-12-31,"Prohibited And Regulated Weapons",2.9
2020-12-31,"Property Damage",1.5
2020-12-31,"Public Order",1.3
2020-12-31,"Robbery, Extortion",2.1
2020-12-31,"Sexual Assault",3.7
2020-12-31,"Theft",8.6
2020-12-31,"Traffic",19.7
2020-12-31,"Unlawful Entry With Intent/Burglary",6.8
2020-12-31,"Unknown",0
2020-12-31,"Breaches",0
2020-12-31,"Dishonesty",0
2020-12-31,"Drugs",0
2020-12-31,"Other",0
2020-12-31,"Violence",0
2020-12-31,"Weapons",0
2021-03-31,"Abduction, Harassment",3
2021-03-31,"Acts Intended To Cause Injury",19.9
2021-03-31,"Dangerous Or Negligent Acts",2.5
2021-03-31,"Fraud, Deception",4.3
2021-03-31,"Homicide",1.5
2021-03-31,"Illicit Drug Offences",7.3
2021-03-31,"Miscellaneous Offences",0.2
2021-03-31,"Offences Against Justice",14
2021-03-31,"Prohibited And Regulated Weapons",2.8
2021-03-31,"Property Damage",1.6
2021-03-31,"Public Order",1.3
2021-03-31,"Robbery, Extortion",2
2021-03-31,"Sexual Assault",3.6
2021-03-31,"Theft",8.5
2021-03-31,"Traffic",20.9
2021-03-31,"Unlawful Entry With Intent/Burglary",6.6
2021-03-31,"Unknown",0
2021-03-31,"Breaches",0
2021-03-31,"Dishonesty",0
2021-03-31,"Drugs",0
2021-03-31,"Other",0
2021-03-31,"Violence",0
2021-03-31,"Weapons",0
2021-06-30,"Abduction, Harassment",2.9
2021-06-30,"Acts Intended To Cause Injury",19.8
2021-06-30,"Dangerous Or Negligent Acts",2.5
2021-06-30,"Fraud, Deception",4.3
2021-06-30,"Homicide",1.6
2021-06-30,"Illicit Drug Offences",7.2
2021-06-30,"Miscellaneous Offences",0.2
2021-06-30,"Offences Against Justice",13.8
2021-06-30,"Prohibited And Regulated Weapons",2.7
2021-06-30,"Property Damage",1.7
2021-06-30,"Public Order",1.2
2021-06-30,"Robbery, Extortion",2
2021-06-30,"Sexual Assault",3.6
2021-06-30,"Theft",8.3
2021-06-30,"Traffic",21.8
2021-06-30,"Unlawful Entry With Intent/Burglary",6.4
2021-06-30,"Unknown",0
2021-06-30,"Breaches",0
2021-06-30,"Dishonesty",0
2021-06-30,"Drugs",0
2021-06-30,"Other",0
2021-06-30,"Violence",0
2021-06-30,"Weapons",0
2021-09-30,"Abduction, Harassment",2.9
2021-09-30,"Acts Intended To Cause Injury",19.7
2021-09-30,"Dangerous Or Negligent Acts",2.5
2021-09-30,"Fraud, Deception",4.3
2021-09-30,"Homicide",1.7
2021-09-30,"Illicit Drug Offences",7.2
2021-09-30,"Miscellaneous Offences",0.3
2021-09-30,"Offences Against Justice",13.8
2021-09-30,"Prohibited And Regulated Weapons",2.8
2021-09-30,"Property Damage",1.5
2021-09-30,"Public Order",1.2
2021-09-30,"Robbery, Extortion",2
2021-09-30,"Sexual Assault",3.8
2021-09-30,"Theft",8
2021-09-30,"Traffic",21.8
2021-09-30,"Unlawful Entry With Intent/Burglary",6.5
2021-09-30,"Unknown",0
2021-09-30,"Breaches",0
2021-09-30,"Dishonesty",0
2021-09-30,"Drugs",0
2021-09-30,"Other",0
2021-09-30,"Violence",0
2021-09-30,"Weapons",0
2021-12-31,"Abduction, Harassment",2.9
2021-12-31,"Acts Intended To Cause Injury",20
2021-12-31,"Dangerous Or Negligent Acts",2.5
2021-12-31,"Fraud, Deception",4.3
2021-12-31,"Homicide",1.8
2021-12-31,"Illicit Drug Offences",7.3
2021-12-31,"Miscellaneous Offences",0.2
2021-12-31,"Offences Against Justice",13.7
2021-12-31,"Prohibited And Regulated Weapons",2.7
2021-12-31,"Property Damage",1.5
2021-12-31,"Public Order",1.2
2021-12-31,"Robbery, Extortion",1.9
2021-12-31,"Sexual Assault",4
2021-12-31,"Theft",8.1
2021-12-31,"Traffic",21.6
2021-12-31,"Unlawful Entry With Intent/Burglary",6.3
2021-12-31,"Unknown",0
2021-12-31,"Breaches",0
2021-12-31,"Dishonesty",0
2021-12-31,"Drugs",0
2021-12-31,"Other",0
2021-12-31,"Violence",0
2021-12-31,"Weapons",0
2022-03-31,"Abduction, Harassment",3
2022-03-31,"Acts Intended To Cause Injury",20.1
2022-03-31,"Dangerous Or Negligent Acts",2.5
2022-03-31,"Fraud, Deception",4.1
2022-03-31,"Homicide",1.8
2022-03-31,"Illicit Drug Offences",7.4
2022-03-31,"Miscellaneous Offences",0.2
2022-03-31,"Offences Against Justice",13.3
2022-03-31,"Prohibited And Regulated Weapons",2.7
2022-03-31,"Property Damage",1.6
2022-03-31,"Public Order",1.2
2022-03-31,"Robbery, Extortion",1.9
2022-03-31,"Sexual Assault",4
2022-03-31,"Theft",8
2022-03-31,"Traffic",22
2022-03-31,"Unlawful Entry With Intent/Burglary",6.2
2022-03-31,"Unknown",0
2022-03-31,"Breaches",0
2022-03-31,"Dishonesty",0
2022-03-31,"Drugs",0
2022-03-31,"Other",0
2022-03-31,"Violence",0
2022-03-31,"Weapons",0
2022-06-30,"Abduction, Harassment",3.1
2022-06-30,"Acts Intended To Cause Injury",19.8
2022-06-30,"Dangerous Or Negligent Acts",2.6
2022-06-30,"Fraud, Deception",3.8
2022-06-30,"Homicide",1.8
2022-06-30,"Illicit Drug Offences",7.3
2022-06-30,"Miscellaneous Offences",0.2
2022-06-30,"Offences Against Justice",12.8
2022-06-30,"Prohibited And Regulated Weapons",2.9
2022-06-30,"Property Damage",1.6
2022-06-30,"Public Order",1.2
2022-06-30,"Robbery, Extortion",1.8
2022-06-30,"Sexual Assault",4.1
2022-06-30,"Theft",7.8
2022-06-30,"Traffic",23.1
2022-06-30,"Unlawful Entry With Intent/Burglary",6.1
2022-06-30,"Unknown",0
2022-06-30,"Breaches",0
2022-06-30,"Dishonesty",0
2022-06-30,"Drugs",0
2022-06-30,"Other",0
2022-06-30,"Violence",0
2022-06-30,"Weapons",0
2022-09-30,"Abduction, Harassment",3.1
2022-09-30,"Acts Intended To Cause Injury",19.7
2022-09-30,"Dangerous Or Negligent Acts",2.6
2022-09-30,"Fraud, Deception",3.6
2022-09-30,"Homicide",1.8
2022-09-30,"Illicit Drug Offences",7
2022-09-30,"Miscellaneous Offences",0.2
2022-09-30,"Offences Against Justice",12.2
2022-09-30,"Prohibited And Regulated Weapons",2.8
2022-09-30,"Property Damage",1.6
2022-09-30,"Public Order",1.3
2022-09-30,"Robbery, Extortion",1.7
2022-09-30,"Sexual Assault",4
2022-09-30,"Theft",7.8
2022-09-30,"Traffic",23.7
2022-09-30,"Unlawful Entry With Intent/Burglary",5.8
2022-09-30,"Unknown",1.1
2022-09-30,"Breaches",0
2022-09-30,"Dishonesty",0
2022-09-30,"Drugs",0
2022-09-30,"Other",0
2022-09-30,"Violence",0
2022-09-30,"Weapons",0
2022-12-31,"Abduction, Harassment",3.1
2022-12-31,"Acts Intended To Cause Injury",20.15
2022-12-31,"Dangerous Or Negligent Acts",2.7
2022-12-31,"Fraud, Deception",3.5
2022-12-31,"Homicide",1.8
2022-12-31,"Illicit Drug Offences",7
2022-12-31,"Miscellaneous Offences",0.15
2022-12-31,"Offences Against Justice",11.8
2022-12-31,"Prohibited And Regulated Weapons",2.7
2022-12-31,"Property Damage",1.6
2022-12-31,"Public Order",1.15
2022-12-31,"Robbery, Extortion",1.8
2022-12-31,"Sexual Assault",4
2022-12-31,"Theft",7.8
2022-12-31,"Traffic",23.9
2022-12-31,"Unlawful Entry With Intent/Burglary",5.8
2022-12-31,"Unknown",1.05
2022-12-31,"Breaches",0
2022-12-31,"Dishonesty",0
2022-12-31,"Drugs",0
2022-12-31,"Other",0
2022-12-31,"Violence",0
2022-12-31,"Weapons",0
2023-03-31,"Abduction, Harassment",3.1
2023-03-31,"Acts Intended To Cause Injury",19.9
2023-03-31,"Dangerous Or Negligent Acts",2.7
2023-03-31,"Fraud, Deception",3.5
2023-03-31,"Homicide",1.8
2023-03-31,"Illicit Drug Offences",6.8
2023-03-31,"Miscellaneous Offences",0.2
2023-03-31,"Offences Against Justice",11.6
2023-03-31,"Prohibited And Regulated Weapons",2.8
2023-03-31,"Property Damage",1.5
2023-03-31,"Public Order",1.1
2023-03-31,"Robbery, Extortion",1.7
2023-03-31,"Sexual Assault",4
2023-03-31,"Theft",7.9
2023-03-31,"Traffic",24.5
2023-03-31,"Unlawful Entry With Intent/Burglary",5.8
2023-03-31,"Unknown",1.1
2023-03-31,"Breaches",0
2023-03-31,"Dishonesty",0
2023-03-31,"Drugs",0
2023-03-31,"Other",0
2023-03-31,"Violence",0
2023-03-31,"Weapons",0
